Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-24,Flag,,https://boxd.it/mW7Oi,

Position,Name,Year,URL,Description
1,"Elvira, Mistress of the Dark",1988,https://boxd.it/22LG,
2,"The Vampires or, The Arch Criminals of Paris",1915,https://boxd.it/1ofA,
3,Little Shop of Horrors,1986,https://boxd.it/1Vqm,
4,Drink Slay Love,2017,https://boxd.it/h0qG,
5,The Joy Luck Club,1993,https://boxd.it/1ElY,
6,Igby Goes Down,2002,https://boxd.it/1Y3A,
7,Harold and Maude,1971,https://boxd.it/2axM,
8,Adam's Rib,1949,https://boxd.it/1vQy,
9,Nashville,1975,https://boxd.it/25GE,
10,Summertime,2015,https://boxd.it/8htk,
11,Midnight Mass,2021,https://boxd.it/wvVA,
12,Bound,1996,https://boxd.it/1Z1g,
13,The Lighthouse,2019,https://boxd.it/icFU,
14,The Haunting of Bly Manor,2020,https://boxd.it/rUdS,
